Şimdi,Tarih
4154.3,2018-10-01 00:00:00
4089.15,2018-09-01 00:00:00
4126.17,2018-08-01 00:00:00
4046.75,2018-05-01 00:00:00
4013.86,2018-04-01 00:00:00
3849.09,2018-03-01 00:00:00
3870.13,2018-02-01 00:00:00
3800.73,2017-12-29 00:00:00
3747.06,2017-12-28 00:00:00
3719.15,2017-12-27 00:00:00
3714,2017-12-26 00:00:00
3682.61,2017-12-25 00:00:00
3657.44,2017-12-22 00:00:00
3644.55,2017-12-21 00:00:00
3556.23,2017-12-20 00:00:00
3565.45,2017-12-19 00:00:00
3553.38,2017-12-18 00:00:00
3531.99,2017-12-15 00:00:00
3580.91,2017-12-14 00:00:00
3581.56,2017-12-13 00:00:00
3641.09,2017-12-12 00:00:00
3612.97,2017-11-12 00:00:00
3560.77,2017-08-12 00:00:00
3530.06,2017-07-12 00:00:00
3483.84,2017-06-12 00:00:00
3470.43,2017-05-12 00:00:00
3400.39,2017-04-12 00:00:00
3305.72,2017-01-12 00:00:00
3274.71,2017-11-30 00:00:00
3213.11,2017-11-29 00:00:00
3238.78,2017-11-28 00:00:00
3339.07,2017-11-27 00:00:00
3315.44,2017-11-24 00:00:00
3335.98,2017-11-23 00:00:00
3292.91,2017-11-22 00:00:00
3283.71,2017-11-21 00:00:00
3263.74,2017-11-20 00:00:00
3320.36,2017-11-17 00:00:00
3395.58,2017-11-16 00:00:00
3482.57,2017-11-15 00:00:00
3560.14,2017-11-14 00:00:00
3616.39,2017-11-13 00:00:00
3663.58,2017-10-11 00:00:00
3682.24,2017-09-11 00:00:00
3688.41,2017-08-11 00:00:00
3657.77,2017-07-11 00:00:00
3601.22,2017-06-11 00:00:00
3577.23,2017-03-11 00:00:00
3645.15,2017-02-11 00:00:00
3643.36,2017-01-11 00:00:00
3597.31,2017-10-31 00:00:00
3522.38,2017-10-30 00:00:00
3503.65,2017-10-27 00:00:00
3515.58,2017-10-26 00:00:00
3545.83,2017-10-25 00:00:00
3536.87,2017-10-24 00:00:00
3563.82,2017-10-23 00:00:00
3576.48,2017-10-20 00:00:00
3602.88,2017-10-19 00:00:00
3586.67,2017-10-18 00:00:00
3592.94,2017-10-17 00:00:00
3542.32,2017-10-16 00:00:00
3500.74,2017-10-13 00:00:00
3501.5,2017-12-10 00:00:00
3473.35,2017-11-10 00:00:00
3441.44,2017-10-10 00:00:00
3361.62,2017-09-10 00:00:00
3532.03,2017-06-10 00:00:00
3582.16,2017-05-10 00:00:00
3576.79,2017-04-10 00:00:00
3566.75,2017-03-10 00:00:00
3600.99,2017-02-10 00:00:00
3553.49,2017-09-29 00:00:00
3479.77,2017-09-28 00:00:00
3443.45,2017-09-27 00:00:00
3564.08,2017-09-26 00:00:00
3462.65,2017-09-25 00:00:00
3601.54,2017-09-22 00:00:00
3633.79,2017-09-21 00:00:00
3686.92,2017-09-20 00:00:00
3625.75,2017-09-19 00:00:00
3695.23,2017-09-18 00:00:00
3836.08,2017-09-15 00:00:00
3872.55,2017-09-14 00:00:00
3910.68,2017-09-13 00:00:00
3903.37,2017-12-09 00:00:00
3913.67,2017-11-09 00:00:00
3847.15,2017-08-09 00:00:00
3800.29,2017-07-09 00:00:00
3789.59,2017-06-09 00:00:00
3778.49,2017-05-09 00:00:00
3816.77,2017-08-31 00:00:00
3791.99,2017-08-29 00:00:00
3788.24,2017-08-28 00:00:00
3799.3,2017-08-25 00:00:00
3768.49,2017-08-24 00:00:00
3727.1,2017-08-23 00:00:00
3728.11,2017-08-22 00:00:00
3744.86,2017-08-21 00:00:00
3727.12,2017-08-18 00:00:00
3735.74,2017-08-17 00:00:00
3603.39,2017-08-16 00:00:00
3635.05,2017-08-15 00:00:00
3745.92,2017-08-14 00:00:00
3654.98,2017-11-08 00:00:00
3668.83,2017-10-08 00:00:00
3677.54,2017-09-08 00:00:00
3715.48,2017-08-08 00:00:00
3738.48,2017-07-08 00:00:00
3680.87,2017-04-08 00:00:00
3648.45,2017-03-08 00:00:00
3676.74,2017-02-08 00:00:00
3690.48,2017-01-08 00:00:00
3792.05,2017-07-31 00:00:00
3784.69,2017-07-28 00:00:00
3773.21,2017-07-27 00:00:00
3737.14,2017-07-26 00:00:00
3703.43,2017-07-25 00:00:00
3710.07,2017-07-24 00:00:00
3682.7,2017-07-21 00:00:00
3693.99,2017-07-20 00:00:00
3699.62,2017-07-19 00:00:00
3645.94,2017-07-18 00:00:00
3661.55,2017-07-17 00:00:00
3664.91,2017-07-14 00:00:00
3657.18,2017-07-13 00:00:00
3637.72,2017-12-07 00:00:00
3647.27,2017-11-07 00:00:00
3642.66,2017-10-07 00:00:00
3607.76,2017-07-07 00:00:00
3573.36,2017-06-07 00:00:00
3601.01,2017-05-07 00:00:00
3628.09,2017-04-07 00:00:00
3629.9,2017-03-07 00:00:00
3626,2017-06-30 00:00:00
3594.19,2017-06-29 00:00:00
3644.76,2017-06-28 00:00:00
3608.99,2017-06-23 00:00:00
3647.74,2017-06-22 00:00:00
3674.34,2017-06-21 00:00:00
3655.18,2017-06-20 00:00:00
3631.09,2017-06-19 00:00:00
3528.06,2017-06-16 00:00:00
3535.69,2017-06-15 00:00:00
3554.89,2017-06-14 00:00:00
3519.28,2017-06-13 00:00:00
3491.97,2017-12-06 00:00:00
3501.07,2017-09-06 00:00:00
3503.07,2017-08-06 00:00:00
3458.63,2017-07-06 00:00:00
3485.55,2017-06-06 00:00:00
3537.11,2017-05-06 00:00:00
3518.49,2017-02-06 00:00:00
3471.95,2017-01-06 00:00:00
3459.94,2017-05-31 00:00:00
3449.44,2017-05-30 00:00:00
3363.67,2017-05-29 00:00:00
3321.8,2017-05-26 00:00:00
3329.29,2017-05-25 00:00:00
3250.16,2017-05-24 00:00:00
3274.61,2017-05-23 00:00:00
3236.03,2017-05-22 00:00:00
3147.46,2017-05-18 00:00:00
3147.9,2017-05-17 00:00:00
3092.88,2017-05-16 00:00:00
3080.94,2017-05-15 00:00:00
3027.32,2017-12-05 00:00:00
3024.5,2017-11-05 00:00:00
